time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.fluid_pressure,.variance
1970/01/01/01:00:07.114000,323,7,113000000,map,107623.842245,0.0
1970/01/01/01:00:07.135000,324,7,134000000,map,107603.561727,0.0
1970/01/01/01:00:07.156000,325,7,155000000,map,107512.431484,0.0
1970/01/01/01:00:07.177000,326,7,176000000,map,107629.848624,0.0
1970/01/01/01:00:07.198000,327,7,197000000,map,107583.491362,0.0
1970/01/01/01:00:07.219000,328,7,218000000,map,107725.134767,0.0
1970/01/01/01:00:07.240000,329,7,239000000,map,107700.351162,0.0
1970/01/01/01:00:07.261000,330,7,260000000,map,107593.762342,0.0
1970/01/01/01:00:07.282000,331,7,281000000,map,107633.339433,0.0
1970/01/01/01:00:07.303000,332,7,301000000,map,107584.308446,0.0
1970/01/01/01:00:07.324000,333,7,323000000,map,107323.648201,0.0
1970/01/01/01:00:07.345000,334,7,344000000,map,107535.717735,0.0
1970/01/01/01:00:07.365000,335,7,365000000,map,107706.398701,0.0
1970/01/01/01:00:07.387000,336,7,386000000,map,107578.233922,0.0
1970/01/01/01:00:07.408000,337,7,407000000,map,107612.036514,0.0
1970/01/01/01:00:07.429000,338,7,428000000,map,107554.880426,0.0
1970/01/01/01:00:07.450000,339,7,450000000,map,107584.234605,0.0
1970/01/01/01:00:07.471000,340,7,469000000,map,107554.147591,0.0
1970/01/01/01:00:07.492000,341,7,491000000,map,107601.958693,0.0
1970/01/01/01:00:07.513000,342,7,512000000,map,107629.442922,0.0
1970/01/01/01:00:07.534000,343,7,533000000,map,107481.061285,0.0
1970/01/01/01:00:07.555000,344,7,554000000,map,107563.796508,0.0
1970/01/01/01:00:07.576000,345,7,575000000,map,107547.857762,0.0
1970/01/01/01:00:07.597000,346,7,596000000,map,107595.32727,0.0
1970/01/01/01:00:07.618000,347,7,617000000,map,107731.584799,0.0
1970/01/01/01:00:07.639000,348,7,638000000,map,107622.16346,0.0
1970/01/01/01:00:07.660000,349,7,659000000,map,107608.028621,0.0
1970/01/01/01:00:07.681000,350,7,680000000,map,107366.054895,0.0
1970/01/01/01:00:07.702000,351,7,701000000,map,107668.40376,0.0
1970/01/01/01:00:07.723000,352,7,722000000,map,107472.437272,0.0
1970/01/01/01:00:07.744000,353,7,743000000,map,107893.444135,0.0
1970/01/01/01:00:07.765000,354,7,764000000,map,107611.62734,0.0
1970/01/01/01:00:07.786000,355,7,785000000,map,107582.181309,0.0
1970/01/01/01:00:07.807000,356,7,806000000,map,107536.691588,0.0
1970/01/01/01:00:07.828000,357,7,827000000,map,107486.524022,0.0
1970/01/01/01:00:07.849000,358,7,849000000,map,107505.203333,0.0
1970/01/01/01:00:07.870000,359,7,869000000,map,107684.300903,0.0
1970/01/01/01:00:07.891000,360,7,887000000,map,107402.710151,0.0
1970/01/01/01:00:07.912000,361,7,911000000,map,107483.34555,0.0
1970/01/01/01:00:07.933000,362,7,932000000,map,107563.613813,0.0
1970/01/01/01:00:07.954000,363,7,953000000,map,107546.687766,0.0
1970/01/01/01:00:07.975000,364,7,974000000,map,107484.541986,0.0
1970/01/01/01:00:07.996000,365,7,995000000,map,107332.952435,0.0
